,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1195,Renault Megane,2009 (09 reg),3 owners,"174,000 miles",1.5L,85PS,Manual,Diesel,"£1,350",N/A,Coupe,MWK Motors Limited - See all 3 cars,Dealer locationBirmingham
1196,Renault Laguna,2003 (53 reg),2 owners,"36,000 miles",2.0L,135BHP,Manual,Petrol,"£1,790",N/A,Hatchback,Superlative Motor Company - See all 10 cars,Dealer locationThornton Heath
1197,Alfa Romeo Mito,2011 (61 reg),3 owners,"81,200 miles",1.4L,172PS,Manual,Petrol,"£3,350",N/A,Hatchback,,N/A
1198,Audi A3,2009 (09 reg),5 owners,"68,800 miles",1.6L,102PS,Manual,Petrol,"£1,500",Cat S,Hatchback,,N/A
1199,Chevrolet Orlando,2011 (61 reg),Part service history,"83,000 miles",1.8L,141PS,Manual,Petrol,"£2,500",N/A,MPV,S A CAR SALES - See all 111 cars,Dealer locationWest Molesey
1200,Ford KA,2009 (59 reg),N/A,"110,100 miles",1.2L,69PS,Manual,Petrol,"£1,495",N/A,Hatchback,Prudential Motors Limited - See all 28 cars,Dealer locationWhitchurch
1201,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
1202,Peugeot 208,2021 (21 reg),1 owner,"53,235 miles",1.2L,99BHP,Manual,Petrol,"£14,100",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1203,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1204,Ford Focus,2016 (66 reg),2 owners,"67,149 miles",1.5L,118BHP,Manual,Diesel,"£8,300",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1205,Renault Scenic,2004 (04 reg),3 owners,"48,375 miles",1.6L,115BHP,Automatic,Petrol,"£1,495",N/A,MPV,Car Choice London - See all 54 cars,Dealer locationIver
1206,Vauxhall Corsa,2011 (11 reg),3 owners,"96,500 miles",1.4L,100PS,Manual,Petrol,"£2,499",N/A,Hatchback,East Coast Vehicles LTD - See all 40 cars,Dealer locationHalesworth
1207,Toyota Yaris,2010 (10 reg),3 owners,"113,500 miles",1.0L,69PS,Manual,Petrol,"£1,750",N/A,Hatchback,,N/A
1208,Volkswagen Golf,2008 (08 reg),3 owners,"194,000 miles",1.9L,103BHP,Manual,Diesel,"£1,200",N/A,Hatchback,,N/A
