,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
253,Audi A3,2008 (08 reg),N/A,"142,900 miles",1.9L,104BHP,Manual,Diesel,£850,N/A,Hatchback,Barry Jones Motors - See all 12 cars,Dealer locationWalsall
254,BMW 3 Series,2013 (63 reg),2 owners,"114,464 miles",2.0L,161BHP,Manual,Diesel,"£4,000",N/A,Saloon,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
255,KIA Ceed,2010 (60 reg),4 owners,"87,089 miles",1.4L,90PS,Manual,Petrol,"£2,290",N/A,Hatchback,OLIX MOTORS LIMITED - See all 146 cars,Dealer locationNelson
256,Ford S-Max,2008 (08 reg),3 owners,"177,000 miles",2.0L,138BHP,Manual,Diesel,"£2,195",N/A,MPV,RS Motors - See all 21 cars,Dealer locationBirmingham
257,Renault Scenic,2012 (12 reg),2 owners,"92,610 miles",1.5L,110PS,Manual,Diesel,"£1,795",N/A,MPV,THE MOTOR PEOPLE - See all 31 cars,Dealer locationBury
258,Vauxhall Insignia,2009 (58 reg),1 owner,"56,000 miles",1.8L,140PS,Manual,Petrol,"£2,489",N/A,Hatchback,Modern Classic Cars - See all 35 cars,Dealer locationKeighley
259,Vauxhall Insignia,2013 (63 reg),3 owners,"200,776 miles",2.0L,163PS,Automatic,Diesel,"£1,080",N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
260,Citroen C4,2009 (59 reg),N/A,1.6L,110PS,Manual,Diesel,3 owners,"£1,489",N/A,Hatchback,Fame Cars Ltd - See all 152 cars,Dealer locationBirmingham
261,Honda Civic,2007 (07 reg),3 owners,"101,000 miles",1.8L,138BHP,Manual,Petrol,"£1,000",N/A,Hatchback,,N/A
262,SEAT Ibiza,2013 (13 reg),2 owners,"134,000 miles",1.2L,75PS,Manual,Diesel,"£2,995",N/A,Hatchback,Premier Car Sales Ltd - See all 34 cars,Dealer locationPreston
263,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
264,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
265,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
266,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
267,Vauxhall Astra,2013 (13 reg),7 owners,"193,616 miles",1.7L,130PS,Manual,Diesel,"£1,490",N/A,Hatchback,Campers R Us - See all 16 cars,Dealer locationWirral
268,Ford Fiesta,2009 (09 reg),4 owners,"67,000 miles",1.4L,67BHP,Manual,Diesel,"£2,999",N/A,Hatchback,Waxx Autos - See all 2 cars,Dealer locationPreston
269,Renault Clio,2011 (11 reg),4 owners,"80,000 miles",1.2L,75PS,Manual,Petrol,"£2,190",N/A,Hatchback,Joe's Cars Leeds - See all 9 cars,Dealer locationLeeds
270,Volkswagen Polo,2011 (11 reg),5 owners,"111,200 miles",1.4L,85PS,Manual,Petrol,"£2,999",Cat S,Hatchback,RKB MCR Motors - See all 9 cars,Dealer locationManchester
271,Toyota Yaris,1999 (V reg),8 owners,"161,000 miles",1.3L,85BHP,Manual,Petrol,£850,N/A,Hatchback,RMC Reddish Motor Company - See all 22 cars,Dealer locationStockport
272,Ford Focus,2011 (11 reg),5 owners,"87,000 miles",2.0L,140PS,Manual,Diesel,"£3,800",N/A,Hatchback,SMS Motors - See all 12 cars,Dealer locationSheffield
273,Peugeot 107,2013 (13 reg),3 owners,"118,000 miles",1.0L,68PS,Manual,Petrol,"£1,995",N/A,Hatchback,ASP Cars - See all 38 cars,Dealer locationAltrincham
274,Fiat Grande Punto,2007 (07 reg),3 owners,"92,000 miles",1.2L,65BHP,Manual,Petrol,"£1,389",N/A,Hatchback,Bargain Cars - See all 24 cars,Dealer locationBirmingham
275,KIA RIO,2013 (13 reg),3 owners,"71,600 miles",1.4L,107BHP,Manual,Petrol,"£4,199",N/A,Hatchback,EMPIRE CAR & VAN SALES LIMITED - See all 32 cars,Dealer locationBlackburn
276,Ford Fiesta,2013 (18 reg),2 owners,"90,000 miles",1.5L,75PS,Manual,Diesel,"£2,995",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
277,Fiat 500,2012 (12 reg),No service history,"102,193 miles",1.2L,70PS,Manual,Petrol,"£2,495",N/A,Hatchback,Ace Car Sales - See all 86 cars,Dealer locationHeywood
278,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
279,Vauxhall Crossland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
280,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
281,Ford KA,2008 (08 reg),6 owners,"70,321 miles",1.3L,69BHP,Manual,Petrol,£700,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
282,Nissan Qashqai,2011 (61 reg),3 owners,"62,000 miles",1.5L,110PS,Manual,Diesel,"£3,995",N/A,SUV,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
