,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
454,KIA Soul,2010 (59 reg),3 owners,"97,000 miles",1.6L,128PS,Manual,Diesel,"£1,989",N/A,SUV,Fame Cars Ltd - See all 152 cars,Dealer locationBirmingham
455,Vauxhall Insignia,2010 (59 reg),Full service history,"92,627 miles",2.0L,160PS,Manual,Diesel,"£1,999",N/A,Hatchback,Ingram & Sons Motors - See all 8 cars,Dealer locationNottingham
456,Toyota RAV4,2003 (53 reg),N/A,"61,000 miles",2.0L,Manual,Diesel,N/A,"£1,495",N/A,SUV,Hoyles Denholme - See all 11 cars,Dealer locationBradford
457,Vauxhall Corsa,2012 (62 reg),3 owners,"81,432 miles",1.2L,85PS,Manual,Petrol,"£3,495",N/A,Hatchback,First Choice Motors - See all 45 cars,Dealer locationDewsbury
458,Vauxhall Corsa,2015 (65 reg),3 owners,"88,000 miles",1.4L,90PS,Manual,Petrol,"£3,499",Cat S,Hatchback,Freeway Motoring,Dealer locationBirmingham
459,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
460,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
461,DS Automobiles DS 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
462,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
463,Renault Twingo,2008 (08 reg),3 owners,"86,969 miles",1.2L,60PS,Manual,Petrol,"£1,450",N/A,Hatchback,Sturdy Motors Ltd - See all 5 cars,Dealer locationBrierley Hill
464,Ford Focus,2011 (61 reg),4 owners,"130,000 miles",1.6L,115PS,Manual,Diesel,"£2,495",N/A,Hatchback,Autohub Northwest Ltd - See all 25 cars,Dealer locationManchester
465,Audi A3,2007 (56 reg),6 owners,"111,456 miles",1.6L,100BHP,Automatic,Petrol,"£1,795",N/A,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
466,Nissan Micra,2002 (52 reg),6 owners,"61,000 miles",1.0L,60BHP,Manual,Petrol,£995,N/A,Hatchback,Pick My Motor Holdings Ltd - See all 18 cars,Dealer locationWednesbury
467,Renault Megane,2013 (13 reg),3 owners,"90,000 miles",1.6L,110PS,Manual,Petrol,"£2,500",N/A,Hatchback,GPC - See all 21 cars,Dealer locationBradford
468,Ford KA,2011 (11 reg),N/A,"106,000 miles",1.2L,69PS,Manual,Petrol,"£1,995",N/A,Hatchback,JCT MOTORS - See all 22 cars,Dealer locationOssett
469,Mazda6,2010 (60 reg),N/A,"120,000 miles",2.0L,155PS,Manual,Petrol,"£2,495",N/A,Hatchback,M K Carsales - See all 64 cars,Dealer locationWakefield
470,BMW 3 Series,2013 (63 reg),2 owners,"114,464 miles",2.0L,161BHP,Manual,Diesel,"£4,000",N/A,Saloon,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
471,Renault Clio,2009 (59 reg),N/A,"73,000 miles",1.2L,75BHP,Manual,Petrol,"£1,999",N/A,Hatchback,Zinath Cars - See all 9 cars,Dealer locationManchester
472,Volkswagen Polo,2011 (11 reg),5 owners,"111,200 miles",1.4L,85PS,Manual,Petrol,"£2,999",Cat S,Hatchback,RKB MCR Motors - See all 9 cars,Dealer locationManchester
473,Ford S-Max,2008 (08 reg),3 owners,"177,000 miles",2.0L,138BHP,Manual,Diesel,"£2,195",N/A,MPV,RS Motors - See all 21 cars,Dealer locationBirmingham
474,Vauxhall Grandland X,2018 (67 reg),N/A,"38,404 miles",1.2L,130PS,Manual,Petrol,"£14,121",N/A,SUV,Bristol Street Motors Ford Crewe - See all 60 cars,Dealer locationCrewe
475,Ford Focus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
476,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
477,KIA Ceed,2010 (60 reg),4 owners,"87,089 miles",1.4L,90PS,Manual,Petrol,"£2,290",N/A,Hatchback,OLIX MOTORS LIMITED - See all 146 cars,Dealer locationNelson
478,Nissan Qashqai+2,2013 (63 reg),6 owners,"129,100 miles",1.5L,110PS,Manual,Diesel,"£1,950",Cat N,SUV,A Car Sales - See all 12 cars,Dealer locationBirmingham
479,Vauxhall Astra,2006 (55 reg),N/A,"102,400 miles",1.8L,123BHP,Automatic,Petrol,"£1,295",N/A,Estate,Sellyourcar2adam.com - See all 7 cars,Dealer locationRothwell
480,Toyota Avensis,2005 (05 reg),7 owners,"96,000 miles",1.8L,127BHP,Manual,Petrol,"£1,195",N/A,Saloon,Select Car Sales - See all 21 cars,Dealer locationOldham
481,Vauxhall Astra,2005 (54 reg),N/A,"115,000 miles",1.7L,79BHP,Manual,Diesel,£999,N/A,Hatchback,The Car Nation - See all 87 cars,Dealer locationBirmingham
482,Citroen C3,2007 (57 reg),3 owners,"64,063 miles",1.4L,67BHP,Manual,Diesel,"£1,195",N/A,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
483,Citroen C2,2009 (59 reg),2 owners,"87,000 miles",1.1L,61PS,Manual,Petrol,"£1,495",N/A,Hatchback,D C CARS SWAPSHOP - See all 14 cars,Dealer locationSheffield
484,Ford Focus,2008 (08 reg),N/A,"114,000 miles",1.6L,108BHP,Manual,Diesel,"£1,495",N/A,Hatchback,Car Play 247 - See all 28 cars,Dealer locationHalifax
485,Toyota Auris,2009 (09 reg),4 owners,"134,000 miles",1.33L,100BHP,Manual,Petrol,"£1,250",N/A,Hatchback,Parkside Motor Store - See all 347 cars,Dealer locationBolton
486,Renault Scenic,2011 (61 reg),4 owners,"83,000 miles",1.6L,110PS,Manual,Petrol,"£1,995",N/A,MPV,The Motor Max - See all 7 cars,Dealer locationNottingham
487,Ford Focus,2007 (57 reg),6 owners,"65,700 miles",1.8L,113BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Munroe Vehicle Solutions - See all 11 cars,Dealer locationSheffield
488,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
489,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
