,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1286,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1287,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1288,MG MG Zs,2021 (71 reg),N/A,"18,253 miles",1.5L,106PS,Manual,Petrol,"£14,451",N/A,SUV,Bristol Street Motors MG Beaconsfield - See all 19 cars,Dealer locationBeaconsfield
1289,Volvo S60,2004 (54 reg),1 owner,"87,500 miles",2.5L,210BHP,Automatic,Petrol,"£3,195",N/A,Saloon,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
1290,Toyota Auris,2008 (08 reg),N/A,"90,000 miles",2.0L,126BHP,Manual,Diesel,"£1,889",N/A,Hatchback,Car Valley - See all 101 cars,Dealer locationWembley
1291,Vauxhall Insignia,2011 (61 reg),3 owners,"78,300 miles",2.0L,160PS,Automatic,Diesel,"£4,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
1292,Ford KA,2009 (09 reg),4 owners,"111,000 miles",1.2L,69PS,Manual,Petrol,"£1,790",N/A,Hatchback,T & O Motors - See all 38 cars,Dealer locationChertsey
1293,Nissan Qashqai,2009 (59 reg),3 owners,"81,185 miles",2.0L,139BHP,Manual,Petrol,"£3,995",N/A,Hatchback,LS Autos Ltd - See all 32 cars,Dealer locationFarnham
1294,Ford Mondeo,2010 (10 reg),2 owners,"118,000 miles",1.8L,123BHP,Manual,Diesel,"£1,995",N/A,Hatchback,Berkshire Car Centre - See all 56 cars,Dealer locationReading
1295,Volkswagen Golf,2012 (62 reg),N/A,"128,058 miles",1.6L,105PS,Manual,Diesel,"£3,495",N/A,Hatchback,UK Motorzone - See all 28 cars,Dealer locationCamberley
1296,Lexus LS 400,1995 (N reg),N/A,"182,000 miles",4.0L,260BHP,Automatic,Petrol,"£1,500",N/A,Saloon,Masons Car Sales - See all 26 cars,Dealer locationHornchurch
1297,Renault Megane,2010 (10 reg),Full service history,"89,000 miles",2.0L,180PS,Manual,Petrol,"£2,850",N/A,Coupe,Value Automobiles - See all 29 cars,Dealer locationWillesden
1298,Renault Kangoo,2008 (08 reg),N/A,"94,000 miles",1.5L,83BHP,Manual,Diesel,"£2,495",N/A,MPV,WCC - See all 128 cars,Dealer locationHook
1299,Ford Fiesta,2016 (66 reg),N/A,"48,000 miles",1.25L,82PS,Manual,Petrol,"£6,500",N/A,Hatchback,New Stone Motors - See all 65 cars,Dealer locationAddlestone
1300,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 58 cars,Dealer locationCardiff
1301,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1302,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 58 cars,Dealer locationCardiff
1303,MINI Hatch,2007 (57 reg),2 owners,"78,000 miles",1.6L,120PS,Manual,Petrol,"£2,200",N/A,Hatchback,,N/A
