,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1163,Suzuki Swift,2008 (08 reg),1 owner,"106,543 miles",1.3L,68BHP,Manual,Diesel,"£1,985",N/A,Hatchback,Carporium Car Sales - See all 31 cars,Dealer locationSheffield
1164,Hyundai i30,2011 (61 reg),N/A,"84,000 miles",1.4L,110PS,Manual,Petrol,"£3,299",N/A,Hatchback,Westfield Motors - See all 18 cars,Dealer locationHull
1165,Audi A4 Avant,2008 (58 reg),3 owners,"121,000 miles",2.0L,168BHP,Manual,Diesel,"£3,195",N/A,Estate,Art Motor Group - See all 9 cars,Dealer locationWakefield
1166,Mercedes-Benz E Class,2012 (62 reg),3 owners,"98,000 miles",2.1L,231PS,Automatic,Diesel Hybrid,"£2,450",Cat N,Saloon,,N/A
1167,Vauxhall Corsa,2012 (12 reg),2 owners,"112,000 miles",1.2L,85PS,Manual,Petrol,"£2,490",N/A,Hatchback,George St Car Sales - See all 29 cars,Dealer locationDarwen
1168,Honda Civic,2007 (57 reg),4 owners,"64,000 miles",1.8L,138BHP,Manual,Petrol,"£2,795",N/A,Hatchback,Majestic Cars - See all 9 cars,Dealer locationSheffield
1169,Citroen C5,2009 (59 reg),5 owners,"113,000 miles",2.0L,140PS,Manual,Diesel,"£1,995",N/A,Saloon,ASHBY MOTORS LTD - See all 57 cars,Dealer locationChorley
1170,Ford Fiesta,2010 (59 reg),N/A,"68,000 miles",1.6L,89BHP,Manual,Diesel,"£4,795",N/A,Hatchback,The Car Point - See all 27 cars,Dealer locationSheffield
1171,Toyota Auris,2008 (08 reg),5 owners,"97,000 miles",1.4L,90BHP,Automatic,Diesel,"£3,500",N/A,Hatchback,HSI Automotive - See all 21 cars,Dealer locationBradford
1172,Vauxhall Astra,2010 (10 reg),Part service history,"111,000 miles",1.6L,115PS,Manual,Petrol,"£1,995",N/A,Hatchback,Waxx Autos - See all 2 cars,Dealer locationPreston
1173,Vauxhall Zafira,2014 (14 reg),2 owners,"60,784 miles",1.8L,140PS,Manual,Petrol,"£5,990",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
1174,Vauxhall Adam,2015 (15 reg),2 owners,"65,000 miles",1.4L,150PS,Manual,Petrol,"£7,499",N/A,Hatchback,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
1175,Audi Q7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1176,Honda Cr-V,2017 (67 reg),2 owners,"44,000 miles",2.0L,155PS,Manual,Petrol,"£12,999",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
1177,Vauxhall Corsa,2012 (12 reg),3 owners,"90,000 miles",1.4L,100PS,Manual,Petrol,"£2,999",N/A,Hatchback,Zinath Cars - See all 9 cars,Dealer locationManchester
1178,Citroen DS3,2012 (61 reg),N/A,"97,000 miles",1.6L,120PS,Manual,Petrol,£750,Cat S,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
1179,Ford Galaxy,2005 (05 reg),No service history,"135,000 miles",1.9L,128BHP,Manual,Diesel,"£1,990",N/A,MPV,OLIX MOTORS LIMITED - See all 146 cars,Dealer locationNelson
1180,Citroen C4 Picasso,2014 (64 reg),N/A,"95,000 miles",1.6L,92PS,Manual,Diesel,"£3,795",N/A,MPV,HMG Autos - See all 34 cars,Dealer locationDewsbury
1181,Peugeot 307,2006 (06 reg),4 owners,"85,000 miles",1.6L,90BHP,Manual,Diesel,"£1,750",N/A,Hatchback,JDM Trading Ltd - See all 18 cars,Dealer locationRotherham
1182,Chevrolet Orlando,2012 (62 reg),4 owners,"115,000 miles",2.0L,163PS,Automatic,Diesel,"£1,495",N/A,MPV,Parkside Motor Store - See all 347 cars,Dealer locationBolton
1183,Ford Focus,2010 (10 reg),7 owners,"94,000 miles",1.4L,79BHP,Manual,Petrol,"£2,250",N/A,Hatchback,Discount Cars - See all 54 cars,Dealer locationStockton On Tees
1184,Audi A5,2012 (62 reg),3 owners,"118,952 miles",1.8L,170PS,Manual,Petrol,"£6,495",N/A,Coupe,Teesside Motor House Ltd - See all 21 cars,Dealer locationStockton On Tees
1185,BMW 3 Series,2002 (52 reg),2 owners,"143,000 miles",2.2L,170BHP,Manual,Petrol,"£1,800",N/A,Coupe,,N/A
1186,Lexus IS 220d,2007 (57 reg),2 owners,"75,500 miles",2.2L,175BHP,Manual,Diesel,"£1,000",N/A,Saloon,Parkside Motor Store - See all 347 cars,Dealer locationBolton
