,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
295,Volkswagen Arteon,2018,N/A,"75,800 miles",2.0L,147BHP,Manual,Diesel,"£16,795",N/A,Hatchback,Car Brothers NI - See all 44 cars,Dealer locationNewtownabbey
296,Vauxhall Grandland X,2020,2 owners,"11,869 miles",1.2L,130PS,Manual,Petrol,"£14,599",N/A,SUV,Charles Hurst Vauxhall Newtownabbey - See all 8 cars,Dealer locationNewtownabbey
297,Toyota Auris,2009,4 owners,"74,060 miles",1.33L,100BHP,Manual,Petrol,"£2,899",N/A,Hatchback,RLW Cars - See all 3 cars,"Dealer locationBangor, County Down"
298,Audi A5,2019,N/A,"26,779 miles",2.0L,150PS,Automatic,Petrol,"£24,990",N/A,Hatchback,Belfast Audi - See all 68 cars,Dealer locationBelfast
299,Audi A5,2017,N/A,"41,001 miles",2.0L,190PS,Automatic,Petrol,"£18,150",N/A,Coupe,Belfast Audi - See all 68 cars,Dealer locationBelfast
300,BMW 6 Series,2012,N/A,"65,385 miles",3.0L,308BHP,Automatic,Diesel,"£13,995",N/A,Coupe,NORTH DOWN MOTORS LTD - See all 49 cars,"Dealer locationBangor, County Down"
301,Ford Focus,2019,1 owner,"25,963 miles",1.0L,125PS,Manual,Petrol,"£14,799",N/A,Hatchback,Usedirect Belfast 62 Boucher Road - See all 118 cars,Dealer locationBelfast
302,Fiat 500,2014,N/A,"68,067 miles",1.2L,69BHP,Manual,Petrol,"£4,695",N/A,Hatchback,M H MOTORS LTD - See all 99 cars,Dealer locationNewtownabbey
303,Peugeot 2008,2020,1 owner,"18,373 miles",1.2L,101PS,Manual,Petrol,"£16,899",N/A,SUV,Charles Hurst Peugeot Belfast - See all 24 cars,Dealer locationBelfast
304,Volkswagen Golf,2017,2 owners,"46,500 miles",2.0L,298BHP,Manual,Petrol,"£16,995",N/A,Hatchback,Car Brothers NI - See all 44 cars,Dealer locationNewtownabbey
305,MINI Hatch,2011,2 owners,"67,320 miles",1.6L,122BHP,Manual,Petrol,"£4,995",N/A,Hatchback,Car Brothers NI - See all 44 cars,Dealer locationNewtownabbey
306,KIA Sportage,2017,2 owners,"52,000 miles",1.6L,130BHP,Manual,Petrol,"£12,750",N/A,SUV,McCabe Autos - See all 19 cars,Dealer locationBelfast
