,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1295,Vauxhall Zafira,2008 (08 reg),5 owners,"121,745 miles",1.9L,120PS,Manual,Diesel,"£1,899",N/A,MPV,Hatters Car Sales (Luton) Ltd - See all 59 cars,N/A
1296,BMW X5,2011 (11 reg),5 owners,"106,089 miles",3.0L,245PS,Automatic,Diesel,"£8,989",N/A,SUV,Aylesbury Motors - See all 25 cars,Dealer locationAylesbury
1297,Audi Q5,2012 (12 reg),1 owner,"128,000 miles",2.0L,170PS,Manual,Diesel,"£6,950",N/A,SUV,,N/A
1298,Fiat 500,2016 (16 reg),N/A,"18,176 miles",1.2L,69BHP,Manual,Petrol,"£6,949",N/A,Hatchback,Cazoo - See all 4097 cars,N/A
1299,Hyundai i30,2013 (13 reg),2 owners,"85,359 miles",1.4L,98PS,Manual,Petrol,"£5,400",N/A,Hatchback,M&R Motors - See all 49 cars,Dealer locationWallingford
1300,Vauxhall Crossland,2021 (71 reg),1 owner,"19,008 miles",1.2L,110PS,Manual,Petrol,"£14,999",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1301,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1302,Vauxhall Corsa,2021 (21 reg),2 owners,"15,467 miles",1.2L,100PS,Manual,Petrol,"£14,059",N/A,Hatchback,Carsa Bradford - See all 99 cars,N/A
1303,SKODA Fabia,2016 (16 reg),3 owners,"48,279 miles",1.2L,90PS,Manual,Petrol,"£8,850",N/A,Hatchback,Yes Car Ltd - See all 35 cars,N/A
1304,KIA Sportage,2011 (60 reg),N/A,"119,000 miles",1.7L,116PS,Manual,Diesel,"£4,490",N/A,SUV,Auto Globe Limited - See all 113 cars,N/A
1305,KIA Sportage,2015 (65 reg),N/A,"101,800 miles",1.6L,137PS,Manual,Petrol,"£6,995",N/A,SUV,Old Forge Motor Group - See all 57 cars,N/A
1306,SEAT Ibiza,2017 (17 reg),2 owners,"61,000 miles",1.0L,115PS,Manual,Petrol,"£10,995",N/A,Hatchback,Broadway Motors - See all 6 cars,Dealer locationWantage
1307,Jaguar XF,2016 (66 reg),3 owners,"104,673 miles",2.0L,180PS,Automatic,Diesel,"£9,889",N/A,Saloon,Aylesbury Motors - See all 25 cars,Dealer locationAylesbury
1308,MINI Hatch,2013 (13 reg),3 owners,"87,200 miles",1.6L,112PS,Manual,Diesel,"£4,995",N/A,Hatchback,SLOCOMBE CARS LTD - See all 4 cars,N/A
1309,Ford Fiesta,2014 (14 reg),3 owners,"55,369 miles",1.25L,60PS,Manual,Petrol,"£5,900",N/A,Hatchback,WEST LONDON MOTORS LTD - See all 50 cars,N/A
1310,Mazda3,2014 (64 reg),4 owners,"71,518 miles",2.0L,165PS,Manual,Petrol,"£9,150",N/A,Hatchback,Autopoint York - See all 33 cars,N/A
1311,Volkswagen Polo,2011 (60 reg),1 owner,"7,993 miles",1.2L,60BHP,Manual,Petrol,"£6,998",N/A,Hatchback,Martin Lee Sports and Prestige - See all 21 cars,N/A
1312,Volkswagen Golf,2018 (18 reg),2 owners,"86,211 miles",1.4L,201BHP,Automatic,Petrol Plug-in Hybrid,"£13,997",N/A,Hatchback,Amin Motors Ltd - See all 38 cars,N/A
1313,Peugeot 208,2014 (64 reg),3 owners,"92,138 miles",1.2L,82PS,Manual,Petrol,"£4,300",N/A,Hatchback,M&R Motors - See all 49 cars,Dealer locationWallingford
1314,Vauxhall Corsa,2021 (21 reg),2 owners,"15,467 miles",1.2L,100PS,Manual,Petrol,"£14,059",N/A,Hatchback,Carsa Bradford - See all 99 cars,N/A
1315,Hyundai i10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1316,Hyundai Tucson,2016 (16 reg),2 owners,"74,000 miles",1.6L,132PS,Manual,Petrol,"£9,500",N/A,SUV,Lux Cars International Ltd - See all 15 cars,N/A
1317,Vauxhall Crossland,2021 (71 reg),1 owner,"19,008 miles",1.2L,110PS,Manual,Petrol,"£14,999",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1318,Vauxhall Zafira Tourer,2016 (16 reg),N/A,"73,863 miles",1.4L,138BHP,Manual,Petrol,"£7,750",N/A,MPV,JMC Sutton - See all 33 cars,N/A
1319,Vauxhall Astra,2017 (17 reg),2 owners,"52,000 miles",1.4L,150PS,Manual,Petrol,"£8,990",N/A,Hatchback,CAR CITY (LUTON) LIMITED - See all 112 cars,N/A
1320,Renault Megane,2014 (64 reg),2 owners,"56,800 miles",1.5L,110PS,Manual,Diesel,"£6,974",N/A,Estate,Wheelers Chipping Norton - See all 80 cars,Dealer locationChipping Norton
1321,Ford Focus,2008 (08 reg),N/A,"108,678 miles",1.8L,125BHP,Manual,Petrol,"£2,495",N/A,Hatchback,Advantage Vehicles - See all 65 cars,N/A
1322,Ford Focus,2015 (15 reg),2 owners,"70,000 miles",1.0L,125PS,Manual,Petrol,"£7,599",N/A,Hatchback,A.A AUTOMOTIVE - See all 65 cars,N/A
1323,Land Rover Freelander 2,2011 (11 reg),N/A,"116,753 miles",2.2L,150PS,Manual,Diesel,"£5,995",N/A,SUV,Old Forge Motor Group - See all 57 cars,N/A
1324,Nissan Qashqai,2018 (18 reg),N/A,"52,470 miles",1.2L,115PS,Manual,Petrol,"£12,861",N/A,SUV,Carsa Bradford - See all 99 cars,N/A
1325,Vauxhall Corsa,2020 (70 reg),1 owner,"42,150 miles",1.2L,100PS,Manual,Petrol,"£13,000",N/A,Hatchback,Eden Approved Bicester - See all 48 cars,Dealer locationBicester
1326,Peugeot Rifter,2020 (70 reg),N/A,"46,237 miles",1.5L,102PS,Manual,Diesel,"£15,600",N/A,MPV,"CarShop, Swindon - See all 454 cars",N/A
1327,SKODA Fabia,2013 (13 reg),3 owners,"28,000 miles",1.2L,86PS,Manual,Petrol,"£6,490",N/A,Hatchback,Variety Cars - See all 28 cars,Dealer locationAmbrosden
1328,Vauxhall Crossland,2021 (71 reg),1 owner,"19,008 miles",1.2L,110PS,Manual,Petrol,"£14,999",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1329,Hyundai i10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1330,Vauxhall Grandland X,2018 (68 reg),2 owners,"16,653 miles",1.2L,130PS,Manual,Petrol,"£15,000",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1331,Suzuki Vitara,2015 (15 reg),2 owners,"77,000 miles",1.6L,120PS,Manual,Petrol,"£9,000",N/A,SUV,Cars Direct 2 U - See all 12 cars,N/A
1332,Nissan Qashqai,2015 (15 reg),1 owner,"54,431 miles",1.2L,115PS,Automatic,Petrol,"£12,595",N/A,SUV,B2 CARSALES LIMITED - See all 29 cars,N/A
1333,Fiat Panda,2012 (61 reg),3 owners,"15,211 miles",1.2L,69BHP,Manual,Petrol,"£4,800",N/A,Hatchback,Hendy Car Store Dorset - See all 132 cars,N/A
1334,BMW Z4,2013 (63 reg),3 owners,"93,153 miles",2.0L,184PS,Automatic,Petrol,"£10,495",N/A,Convertible,Jason Mead Car Sales Ltd - See all 19 cars,N/A
1335,Nissan Qashqai,2014 (64 reg),3 owners,"108,000 miles",1.5L,110PS,Manual,Diesel,"£6,750",N/A,SUV,CAR CITY (LUTON) LIMITED - See all 112 cars,N/A
1336,Volkswagen Golf,2013 (13 reg),3 owners,"75,000 miles",1.6L,105PS,Manual,Diesel,"£6,450",N/A,Convertible,CAR CITY (LUTON) LIMITED - See all 112 cars,N/A
