,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1215,Hyundai Amica,2008 (08 reg),N/A,"94,800 miles",1.1L,62BHP,Manual,Petrol,"£1,350",N/A,Hatchback,CAR MART (SW) LTD - See all 81 cars,Dealer locationBristol
1216,Citroen C3,2021 (21 reg),1 owner,"19,500 miles",1.2L,83PS,Manual,Petrol,"£13,295",N/A,Hatchback,Yeomans Citroen Plymouth - See all 52 cars,Dealer locationPlymouth
1217,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1218,SKODA Fabia,2016 (16 reg),Full service history,"72,258 miles",1.2L,89BHP,Manual,Petrol,"£7,990",N/A,Hatchback,Howe Motors Ltd - See all 57 cars,Dealer locationBarry
1219,Mazda3,2005 (05 reg),N/A,"129,000 miles",2.0L,147BHP,Manual,Petrol,"£1,299",N/A,Hatchback,Car Corp - See all 21 cars,Dealer locationBirmingham
1220,BMW X1,2016 (66 reg),3 owners,"64,000 miles",2.0L,231PS,Automatic,Diesel,"£17,495",N/A,SUV,K and M Car Sales Ltd - See all 13 cars,Dealer locationTavistock
1221,Fiat Doblo,2004 (54 reg),N/A,"85,000 miles",1.3L,70BHP,Manual,Diesel,"£1,495",N/A,Estate,Percy Motors Birmingham Ltd - See all 42 cars,Dealer locationBirmingham
1222,Renault Megane,2008 (58 reg),4 owners,"108,000 miles",1.5L,105PS,Manual,Diesel,"£1,800",N/A,Hatchback,Barry Bangers - See all 18 cars,Dealer locationCardiff
1223,Mercedes-Benz C Class,2001 (51 reg),N/A,"86,974 miles",2.3L,197BHP,Manual,Petrol,£600,N/A,Coupe,Radfords Motor Sales Limited - See all 29 cars,Dealer locationMansfield
1224,Audi A4,2008 (08 reg),5 owners,"118,000 miles",2.0L,138BHP,Manual,Diesel,"£2,150",N/A,Saloon,Imperial Specialist Cars - See all 14 cars,Dealer locationBirmingham
1225,KIA Ceed,2010 (10 reg),4 owners,"57,996 miles",1.6L,115PS,Automatic,Diesel,"£4,799",N/A,Hatchback,CH Auto Sales Ltd - See all 50 cars,Dealer locationReading
1226,BMW 5 Series,2002 (02 reg),N/A,"170,559 miles",2.5L,192BHP,Automatic,Petrol,"£1,975",N/A,Saloon,,N/A
1227,Citroen DS4,2011 (61 reg),N/A,"99,000 miles",1.6L,110BHP,Automatic,Diesel,"£5,000",Cat N,Hatchback,JMC Sutton - See all 32 cars,Dealer locationSutton Coldfield
1228,Renault Megane,2010 (10 reg),N/A,"115,300 miles",1.5L,105PS,Manual,Diesel,"£1,595",N/A,Hatchback,R R R MOTORS LIMITED - See all 6 cars,Dealer locationBirmingham
1229,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
1230,Nissan Qashqai,2021 (70 reg),1 owner,"22,086 miles",1.3L,140PS,Manual,Petrol,"£16,395",N/A,SUV,Yeomans Nissan Plymouth - See all 28 cars,Dealer locationPlymouth
1231,SEAT Ateca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1232,SKODA Fabia,2016 (16 reg),Full service history,"72,258 miles",1.2L,89BHP,Manual,Petrol,"£7,990",N/A,Hatchback,Howe Motors Ltd - See all 57 cars,Dealer locationBarry
1233,Suzuki Swift,2014 (64 reg),2 owners,"40,283 miles",1.2L,94PS,Manual,Petrol,"£6,645",N/A,Hatchback,Trojan Motor Company Ltd - See all 15 cars,Dealer locationSaltash
1234,Vauxhall Astra,2004 (54 reg),Part service history,"98,000 miles",1.6L,103BHP,Automatic,Petrol,"£1,790",N/A,Hatchback,space motors - See all 20 cars,Dealer locationLuton
