,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
674,Suzuki Swift,2007 (07 reg),5 owners,"105,771 miles",1.5L,101BHP,Manual,Petrol,"£1,195",Cat N,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
675,SEAT Ibiza,2008 (08 reg),Full service history,"61,000 miles",1.4L,85PS,Manual,Petrol,"£2,995",N/A,Hatchback,Yorkshire Motor Park (BFD) Ltd - See all 14 cars,Dealer locationBradford
676,Vauxhall Astra,2011 (11 reg),Full service history,"108,600 miles",2.0L,160PS,Manual,Diesel,"£2,795",N/A,Estate,First Choice Motors - See all 45 cars,Dealer locationDewsbury
677,Renault Grand Scenic,2008 (08 reg),Full service history,"94,183 miles",1.6L,111BHP,Manual,Petrol,£995,Cat N,Hatchback,TMV Cars - See all 11 cars,Dealer locationBurton On Trent
678,Citroen DS5,2012 (12 reg),2 owners,"72,000 miles",2.0L,160PS,Automatic,Diesel,"£4,350",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
679,Renault Megane,2009 (09 reg),3 owners,"46,000 miles",1.6L,100PS,Manual,Petrol,"£2,200",N/A,Hatchback,HSI Automotive - See all 21 cars,Dealer locationBradford
680,Ford KA,2011 (61 reg),3 owners,"67,000 miles",1.2L,69PS,Manual,Petrol,"£2,795",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
681,Ford Fiesta,2010 (10 reg),N/A,"109,000 miles",1.25L,59BHP,Manual,Petrol,"£2,495",N/A,Hatchback,KS Car Sales - See all 39 cars,Dealer locationWakefield
682,Suzuki Swift,2008 (08 reg),1 owner,"106,543 miles",1.3L,68BHP,Manual,Diesel,"£1,985",N/A,Hatchback,Carporium Car Sales - See all 31 cars,Dealer locationSheffield
683,Volkswagen Golf,2010 (10 reg),6 owners,"145,534 miles",2.0L,140PS,Manual,Diesel,"£2,500",N/A,Hatchback,Global Car Sales - See all 40 cars,Dealer locationBlackburn
684,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
685,Volkswagen T-Roc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
686,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
687,Citroen C4,2012 (62 reg),N/A,"98,000 miles",1.6L,90PS,Manual,Diesel,"£2,495",N/A,Hatchback,F.S MOTORS - See all 18 cars,Dealer locationBradford
688,Renault Megane,2008 (08 reg),5 owners,"190,000 miles",1.5L,106BHP,Manual,Diesel,£599,N/A,Hatchback,BASFORD MOTORS LTD - See all 62 cars,Dealer locationStoke On Trent
689,Ford Fiesta,2010 (59 reg),N/A,"68,000 miles",1.6L,89BHP,Manual,Diesel,"£4,795",N/A,Hatchback,The Car Point - See all 27 cars,Dealer locationSheffield
690,Honda Civic,2007 (57 reg),4 owners,"64,000 miles",1.8L,138BHP,Manual,Petrol,"£2,795",N/A,Hatchback,Majestic Cars - See all 9 cars,Dealer locationSheffield
691,Ford KA,2011 (61 reg),3 owners,"58,000 miles",1.3L,75PS,Manual,Diesel,"£2,500",N/A,Hatchback,HSI Automotive - See all 21 cars,Dealer locationBradford
692,Vauxhall Insignia,2010 (60 reg),2 owners,"85,000 miles",1.8L,140PS,Manual,Petrol,"£1,990",N/A,Hatchback,Mill St Car Centre - See all 23 cars,Dealer locationDewsbury
693,Renault Clio,2006 (06 reg),2 owners,"89,351 miles",1.4L,98BHP,Manual,Petrol,"£1,200",N/A,Hatchback,Daily Driven Cars Ltd - See all 24 cars,Dealer locationWalsall
694,Fiat Panda,2004 (04 reg),7 owners,"102,000 miles",1.1L,54BHP,Manual,Petrol,£995,N/A,Hatchback,F&D Motor Group - See all 17 cars,Dealer locationBradford
695,Volkswagen Golf,2009 (09 reg),N/A,"107,000 miles",1.4L,122PS,Manual,Petrol,"£2,695",N/A,Hatchback,Broadgate Motors - See all 13 cars,Dealer locationBradford
696,Audi A4 Avant,2008 (58 reg),3 owners,"121,000 miles",2.0L,168BHP,Manual,Diesel,"£3,195",N/A,Estate,Art Motor Group - See all 9 cars,Dealer locationWakefield
697,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
698,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
699,Audi Q2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
700,Vauxhall Adam,2015 (15 reg),2 owners,"65,000 miles",1.4L,150PS,Manual,Petrol,"£7,499",N/A,Hatchback,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
701,Vauxhall Corsa,2007 (57 reg),4 owners,"80,000 miles",1.0L,59BHP,Manual,Petrol,"£1,200",N/A,Hatchback,,N/A
702,Toyota Auris,2008 (08 reg),N/A,"220,000 miles",2.0L,126BHP,Manual,Diesel,£499,N/A,Hatchback,Auto Atlas Limited - See all 18 cars,Dealer locationLeighton Buzzard
703,Mazda3,2012 (61 reg),1 owner,"83,000 miles",1.6L,115PS,Manual,Diesel,"£3,495",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
704,Vauxhall Corsa,2011 (61 reg),N/A,"91,074 miles",1.2L,85PS,Manual,Petrol,"£3,395",N/A,Hatchback,Welbeck Autos Ltd - See all 9 cars,Dealer locationRetford
705,Suzuki Swift,2010 (10 reg),4 owners,"99,000 miles",1.3L,91BHP,Manual,Petrol,"£1,300",N/A,Hatchback,CARS IN MK LTD - See all 17 cars,Dealer locationMilton Keynes
706,Citroen DS3,2012 (61 reg),N/A,"97,000 miles",1.6L,120PS,Manual,Petrol,£750,Cat S,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
707,Audi A3,2008 (08 reg),8 owners,"163,813 miles",2.0L,168BHP,Manual,Diesel,"£1,500",N/A,Hatchback,Greenlight - See all 204 cars,Dealer locationBlackburn
708,KIA Ceed,2016 (16 reg),4 owners,"154,225 miles",1.6L,136PS,Manual,Diesel,"£3,990",N/A,Hatchback,H M Motors - See all 35 cars,Dealer locationBlackburn
709,Peugeot 207,2007 (07 reg),4 owners,"58,535 miles",1.4L,90BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Unique Cars Lancashire - See all 56 cars,Dealer locationNelson
710,Ford Fiesta,2017 (17 reg),3 owners,"62,000 miles",1.0L,140PS,Manual,Petrol,"£8,495",N/A,Hatchback,CSH Performance - See all 18 cars,Dealer locationElland
711,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
712,Vauxhall Adam,2015 (15 reg),2 owners,"65,000 miles",1.4L,150PS,Manual,Petrol,"£7,499",N/A,Hatchback,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
713,KIA Picanto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
714,Vauxhall Mokka X,2019 (19 reg),N/A,"16,856 miles",1.4L,140PS,Manual,Petrol,"£13,584",N/A,SUV,Perrys Rotherham - See all 93 cars,Dealer locationRotherham
715,Vauxhall Astra,2011 (11 reg),N/A,"121,000 miles",1.7L,110PS,Manual,Diesel,"£1,195",N/A,Hatchback,Baran Motors - See all 15 cars,Dealer locationDerby
716,Citroen C4 Picasso,2014 (64 reg),N/A,"95,000 miles",1.6L,92PS,Manual,Diesel,"£3,795",N/A,MPV,HMG Autos - See all 34 cars,Dealer locationDewsbury
717,Renault Megane,2007 (07 reg),N/A,"62,000 miles",1.6L,111BHP,Manual,Petrol,"£1,499",N/A,Convertible,Net Cars Ilkeston - See all 10 cars,Dealer locationIlkeston
