,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
14480,Vauxhall Zafira,2009,3,108000.0,1.8L,138.0,Manual,Petrol,1950.0,GC,MPV,Parkstone Motors Ltd,St. Albans,58,Vauxhall
14481,Peugeot 308,2014,2,90365.0,2.0L,148.0,Manual,Diesel,4490.0,GC,Hatchback,Star Car Sales,Bedford,14,Peugeot
14483,Ford Focus,2009,1,126596.0,1.6L,89.0,Manual,Diesel,1790.0,GC,Hatchback,EURO MOTORZ LIMITED,Bedford,09,Ford
14489,BMW 1 Series,2009,5,111960.0,2.0L,141.0,Manual,Diesel,2499.0,GC,Hatchback,MDS Motors,Luton,59,BMW
14494,Ford Fiesta,2006,3,66000.0,1.25L,74.0,Manual,Petrol,1595.0,GC,Hatchback,Onestep Motors Ltd,Luton,06,Ford
14497,Peugeot 208,2012,2,86000.0,1.2L,81.0,Manual,Petrol,4150.0,GC,Hatchback,CAR CITY (LUTON) LIMITED,Luton,,Peugeot
14506,Ford Focus,2008,6,101958.0,1.6L,99.0,Manual,Petrol,1800.0,GC,Hatchback,JK Cars,Leighton Buzzard,58,Ford
14507,Mazda6,2011,3,148970.0,2.2L,127.0,Manual,Diesel,1795.0,GC,Hatchback,Wah Motors Ltd,Luton,61,Mazda6
14509,Toyota Auris,2014,3,122005.0,1.4L,89.0,Manual,Diesel,4490.0,GC,Hatchback,Shaws Cars Ltd,Luton,14,Toyota
14512,Mazda2,2009,2,89220.0,1.3L,85.0,Manual,Petrol,2500.0,GC,Hatchback,Newton Autos LTD,Milton Keynes,09,Mazda2
14518,Volkswagen Polo,2010,5,86500.0,1.2L,69.0,Manual,Petrol,4200.0,GC,Hatchback,Emporio Autos,Bedford,60,Volkswagen
14519,Renault Megane,2013,4,99790.0,1.5L,108.0,Automatic,Diesel,3950.0,GC,Hatchback,,,13,Renault
14522,Lexus RX 300,2001,7,126475.0,3.0L,198.0,Automatic,Petrol,1395.0,GC,SUV,N9 Motors,Sandy,Y ,Lexus
14524,Audi A3,2009,2,156000.0,2.0L,168.0,Manual,Diesel,2980.0,GC,Hatchback,Gemen Motors,Luton,09,Audi
14525,Vauxhall Insignia,2012,3,59000.0,1.8L,138.0,Manual,Petrol,3499.0,GC,Hatchback,,,,Vauxhall
14526,Ford Mondeo,2005,2,86483.0,2.0L,143.0,Automatic,Petrol,1999.0,GC,Hatchback,Safe Cars,Bedford,55,Ford
14532,Hyundai i30,2011,4,71500.0,1.6L,113.0,Manual,Diesel,3295.0,GC,Hatchback,Newton Autos LTD,Milton Keynes,11,Hyundai
14533,Toyota Yaris,2008,4,77000.0,1.3L,85.0,Manual,Petrol,2495.0,GC,Hatchback,Roadgroup,Milton Keynes,08,Toyota
14534,BMW 3 Series,2012,3,109341.0,2.0L,181.0,Manual,Diesel,4995.0,GC,Saloon,Beadlow Motors,Shefford,,BMW
14540,Volkswagen Passat,2004,3,109000.0,1.9L,130.0,Automatic,Diesel,1999.0,GC,Saloon,EMQ Kars,Leighton Buzzard,,Volkswagen
14545,Fiat 500,2013,3,62500.0,1.2L,69.0,Manual,Petrol,4790.0,GC,Hatchback,New Age Motor Sales Ltd,Stevenage,63,Fiat
