,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
26139,Ford Focus,2011,95000.0,1.6L,148.0,Manual,Petrol,2500,GC,Hatchback,Parkside Motor Store,Bolton,61,Ford
26141,Toyota Verso,2010,118000.0,2.0L,124.0,Manual,Diesel,1750,GC,MPV,Dunsmore Motor Company LTD,Birmingham,60,Toyota
26142,Vauxhall Corsa,2011,91000.0,1.7L,128.0,Manual,Diesel,2995,GC,Hatchback,PHC Car Sales,Lichfield,61,Vauxhall
26143,Vauxhall Astra,2012,72500.0,1.4L,99.0,Manual,Petrol,3599,GC,Hatchback,Ultimate Drive,Dewsbury,,Vauxhall
26144,Mercedes-Benz CLK,1999,136027.0,3.2L,218.0,Automatic,Petrol,1150,GC,Coupe,Jacks 4 All,Winsford,T ,Mercedes-Benz
26146,SEAT Ibiza,2011,71987.0,1.2L,74.0,Manual,Diesel,2995,GC,Hatchback,Harry Cars,Oldbury,61,SEAT
26151,Volkswagen CC,2010,165000.0,2.0L,168.0,Automatic,Diesel,2799,GC,Saloon,Ultimate Drive,Dewsbury,60,Volkswagen
26152,Volkswagen Polo,2010,100345.0,1.6L,74.0,Manual,Diesel,2800,GC,Hatchback,ALABASTER AUTO CENTRE LTD,Tipton,10,Volkswagen
26153,Renault Clio,2013,47000.0,0.9L,89.0,Manual,Petrol,3499,Cat D,Hatchback,Robinson Cars,Rochdale,63,Renault
26154,Ford Focus,2009,160000.0,1.6L,99.0,Manual,Petrol,1095,GC,Hatchback,D C CARS SWAPSHOP,Sheffield,59,Ford
26155,Ford Fiesta,2009,90000.0,1.25L,81.0,Manual,Petrol,2350,GC,Hatchback,Joe's Cars Leeds,Leeds,59,Ford
26156,Ford Focus,2010,90000.0,1.6L,108.0,Manual,Diesel,3295,GC,Hatchback,Day 2 Day Motors Ltd,Castleford,10,Ford
26157,Hyundai i10,2008,93525.0,1.1L,66.0,Manual,Petrol,1595,GC,Hatchback,Royston Motors,Barnsley,08,Hyundai
26158,Honda Civic,2005,110000.0,2.0L,158.0,Manual,Petrol,1595,GC,Hatchback,,,05,Honda
26165,Ford Fiesta,2009,113400.0,1.4L,94.0,Automatic,Petrol,3995,GC,Hatchback,Parkside Motor Store,Bolton,59,Ford
26167,KIA Venga,2012,139910.0,1.4L,89.0,Manual,Diesel,1490,GC,MPV,OLIX MOTORS LIMITED,Nelson,,KIA
26168,Ford Focus,2008,70391.0,1.8L,123.0,Manual,Petrol,1695,GC,Hatchback,Burton Cheap Cars,Burton On Trent,08,Ford
26169,Volkswagen Beetle,2007,85000.0,1.6L,101.0,Manual,Petrol,1695,GC,Hatchback,Select A Car Sales,Stockport,57,Volkswagen
26172,Vauxhall Insignia,2010,88114.0,2.0L,128.0,Manual,Diesel,2495,GC,Hatchback,M5 Car Ltd,Oldbury,60,Vauxhall
